,path,label
4314,train\neutral\Training_78591895.jpg,4
2557,train\happy\Training_77136015.jpg,3
2282,train\fear\Training_96163468.jpg,2
2285,train\fear\Training_96198172.jpg,2
6222,train\sad\Training_89743907.jpg,5
2995,train\happy\Training_83251056.jpg,3
2652,train\happy\Training_78282852.jpg,3
6302,train\sad\Training_91601928.jpg,5
7594,train\surprise\Training_90823031.jpg,6
5713,train\sad\Training_79070746.jpg,5
6108,train\sad\Training_87299300.jpg,5
36,train\angry\Training_81333499.jpg,0
2361,train\fear\Training_98236436.jpg,2
7786,train\surprise\Training_97386553.jpg,6
7655,train\surprise\Training_92608034.jpg,6
4704,train\neutral\Training_86396143.jpg,4
4677,train\neutral\Training_85821068.jpg,4
4334,train\neutral\Training_78966489.jpg,4
3732,train\happy\Training_93035080.jpg,3
4075,train\happy\Training_97907638.jpg,3
1873,train\fear\Training_86357524.jpg,2
4513,train\neutral\Training_82833148.jpg,4
3283,train\happy\Training_87052002.jpg,3
4896,train\neutral\Training_90511499.jpg,4
6790,train\surprise\Training_66249772.jpg,6
4954,train\neutral\Training_91605648.jpg,4
1022,train\disgust\Training_31805016.jpg,1
3022,train\happy\Training_83572162.jpg,3
3641,train\happy\Training_91869672.jpg,3
1180,train\disgust\Training_63987627.jpg,1
2662,train\happy\Training_78350104.jpg,3
1666,train\fear\Training_81474503.jpg,2
7634,train\surprise\Training_91933714.jpg,6
5648,train\sad\Training_77866797.jpg,5
17,train\angry\Training_80976958.jpg,0
1092,train\disgust\Training_48641835.jpg,1
414,train\angry\Training_90836932.jpg,0
4191,train\happy\Training_99644162.jpg,3
1344,train\disgust\Training_97257456.jpg,1
5637,train\sad\Training_77592896.jpg,5
4333,train\neutral\Training_78965972.jpg,4
1924,train\fear\Training_87865449.jpg,2
1049,train\disgust\Training_37638277.jpg,1
876,train\disgust\PublicTest_20464211.jpg,1
5382,train\neutral\Training_99968496.jpg,4
6632,train\sad\Training_98654577.jpg,5
2888,train\happy\Training_81643512.jpg,3
7532,train\surprise\Training_89006794.jpg,6
1212,train\disgust\Training_71679475.jpg,1
6999,train\surprise\Training_71645335.jpg,6
3135,train\happy\Training_85272230.jpg,3
1568,train\fear\Training_78946256.jpg,2
2181,train\fear\Training_93845195.jpg,2
2062,train\fear\Training_91070801.jpg,2
6360,train\sad\Training_93028259.jpg,5
7364,train\surprise\Training_83234443.jpg,6
486,train\angry\Training_92753893.jpg,0
5367,train\neutral\Training_99653264.jpg,4
3567,train\happy\Training_90914558.jpg,3
1791,train\fear\Training_84516745.jpg,2
7307,train\surprise\Training_80844522.jpg,6
5487,train\sad\Training_74350756.jpg,5
962,train\disgust\Training_17705855.jpg,1
5596,train\sad\Training_76673414.jpg,5
5784,train\sad\Training_80695070.jpg,5
1014,train\disgust\Training_30098191.jpg,1
4244,train\neutral\Training_77325858.jpg,4
553,train\angry\Training_94377760.jpg,0
4772,train\neutral\Training_87672269.jpg,4
747,train\angry\Training_98565517.jpg,0
6240,train\sad\Training_90212526.jpg,5
2634,train\happy\Training_77981697.jpg,3
4921,train\neutral\Training_90938191.jpg,4
3619,train\happy\Training_91516775.jpg,3
5809,train\sad\Training_81053420.jpg,5
1599,train\fear\Training_79788062.jpg,2
3057,train\happy\Training_84121397.jpg,3
7490,train\surprise\Training_87730536.jpg,6
6093,train\sad\Training_86923535.jpg,5
7757,train\surprise\Training_96389792.jpg,6
2413,train\fear\Training_99283084.jpg,2
7137,train\surprise\Training_76086118.jpg,6
6995,train\surprise\Training_71387037.jpg,6
4998,train\neutral\Training_92297012.jpg,4
1353,train\disgust\Training_98684716.jpg,1
6382,train\sad\Training_93388928.jpg,5
5369,train\neutral\Training_99691598.jpg,4
4447,train\neutral\Training_81500597.jpg,4
3125,train\happy\Training_85083789.jpg,3
3306,train\happy\Training_87277043.jpg,3
7824,train\surprise\Training_98393554.jpg,6
2922,train\happy\Training_82153751.jpg,3
1552,train\fear\Training_78546407.jpg,2
3957,train\happy\Training_96272562.jpg,3
2262,train\fear\Training_95577232.jpg,2
6786,train\surprise\Training_66110929.jpg,6
1851,train\fear\Training_85851510.jpg,2
3858,train\happy\Training_94903625.jpg,3
4671,train\neutral\Training_85757891.jpg,4
7790,train\surprise\Training_97440583.jpg,6
5922,train\sad\Training_83450818.jpg,5
4383,train\neutral\Training_79956097.jpg,4
7603,train\surprise\Training_91052159.jpg,6
2308,train\fear\Training_96717352.jpg,2
4520,train\neutral\Training_83023035.jpg,4
2609,train\happy\Training_77721822.jpg,3
2864,train\happy\Training_81222119.jpg,3
4928,train\neutral\Training_91049393.jpg,4
1842,train\fear\Training_85669847.jpg,2
4885,train\neutral\Training_90126854.jpg,4
4601,train\neutral\Training_84651689.jpg,4
5253,train\neutral\Training_97372968.jpg,4
2140,train\fear\Training_92904219.jpg,2
5581,train\sad\Training_76242403.jpg,5
5504,train\sad\Training_74719415.jpg,5
6288,train\sad\Training_91192812.jpg,5
1351,train\disgust\Training_98416381.jpg,1
5305,train\neutral\Training_98462092.jpg,4
1331,train\disgust\Training_95344687.jpg,1
598,train\angry\Training_95244608.jpg,0
3993,train\happy\Training_96665698.jpg,3
7650,train\surprise\Training_92516152.jpg,6
7836,train\surprise\Training_98588726.jpg,6
2041,train\fear\Training_90667776.jpg,2
2716,train\happy\Training_79229554.jpg,3
4635,train\neutral\Training_85128350.jpg,4
4283,train\neutral\Training_78089744.jpg,4
6729,train\surprise\Training_64386736.jpg,6
2754,train\happy\Training_79717820.jpg,3
6454,train\sad\Training_94893745.jpg,5
1475,train\fear\Training_76911754.jpg,2
2779,train\happy\Training_80006048.jpg,3
2713,train\happy\Training_79177767.jpg,3
6387,train\sad\Training_93519760.jpg,5
2468,train\happy\Training_76015051.jpg,3
1734,train\fear\Training_83332639.jpg,2
7318,train\surprise\Training_81368969.jpg,6
4100,train\happy\Training_98288638.jpg,3
5896,train\sad\Training_82766778.jpg,5
4492,train\neutral\Training_82266807.jpg,4
4751,train\neutral\Training_87224442.jpg,4
3804,train\happy\Training_94050905.jpg,3
3987,train\happy\Training_96562203.jpg,3
1811,train\fear\Training_84904462.jpg,2
4081,train\happy\Training_97962269.jpg,3
1923,train\fear\Training_87851920.jpg,2
4236,train\neutral\Training_77168433.jpg,4
5304,train\neutral\Training_98426162.jpg,4
711,train\angry\Training_97718587.jpg,0
1237,train\disgust\Training_76673939.jpg,1
2354,train\fear\Training_98046368.jpg,2
4213,train\happy\Training_99988263.jpg,3
7540,train\surprise\Training_89216287.jpg,6
2565,train\happy\Training_77243607.jpg,3
1269,train\disgust\Training_82025016.jpg,1
4178,train\happy\Training_99396547.jpg,3
1257,train\disgust\Training_79800289.jpg,1
7410,train\surprise\Training_85021238.jpg,6
702,train\angry\Training_97564434.jpg,0
7659,train\surprise\Training_92701859.jpg,6
6275,train\sad\Training_90924653.jpg,5
3585,train\happy\Training_91092988.jpg,3
7762,train\surprise\Training_96596500.jpg,6
5978,train\sad\Training_84656624.jpg,5
3620,train\happy\Training_91518682.jpg,3
4234,train\neutral\Training_77127796.jpg,4
4734,train\neutral\Training_86881552.jpg,4
522,train\angry\Training_93780674.jpg,0
5620,train\sad\Training_77240805.jpg,5
2793,train\happy\Training_80149417.jpg,3
7320,train\surprise\Training_81495469.jpg,6
5932,train\sad\Training_83581221.jpg,5
5779,train\sad\Training_80488173.jpg,5
352,train\angry\Training_89436635.jpg,0
1090,train\disgust\Training_48256589.jpg,1
1374,train\fear\Training_74428465.jpg,2
1017,train\disgust\Training_31108028.jpg,1
2421,train\fear\Training_99514893.jpg,2
2199,train\fear\Training_94131837.jpg,2
4475,train\neutral\Training_81964673.jpg,4
1974,train\fear\Training_88951145.jpg,2
5182,train\neutral\Training_95849049.jpg,4
7121,train\surprise\Training_75702986.jpg,6
2318,train\fear\Training_96879598.jpg,2
1989,train\fear\Training_89268024.jpg,2
309,train\angry\Training_88281742.jpg,0
4359,train\neutral\Training_79423555.jpg,4
2240,train\fear\Training_95101744.jpg,2
2519,train\happy\Training_76713664.jpg,3
3952,train\happy\Training_96245008.jpg,3
4396,train\neutral\Training_80256157.jpg,4
1228,train\disgust\Training_75393798.jpg,1
5746,train\sad\Training_79726354.jpg,5
4012,train\happy\Training_96944986.jpg,3
3768,train\happy\Training_93570550.jpg,3
6808,train\surprise\Training_66774841.jpg,6
3482,train\happy\Training_89632094.jpg,3
7544,train\surprise\Training_89274966.jpg,6
4795,train\neutral\Training_88170376.jpg,4
7131,train\surprise\Training_75916013.jpg,6
2884,train\happy\Training_81602815.jpg,3
3982,train\happy\Training_96514626.jpg,3
1619,train\fear\Training_80329954.jpg,2
7833,train\surprise\Training_98539906.jpg,6
970,train\disgust\Training_19352710.jpg,1
1207,train\disgust\Training_70739680.jpg,1
3357,train\happy\Training_88017442.jpg,3
5440,train\sad\Training_73408195.jpg,5
3517,train\happy\Training_90259368.jpg,3
1930,train\fear\Training_87903138.jpg,2
4622,train\neutral\Training_84926344.jpg,4
5341,train\neutral\Training_99019653.jpg,4
1617,train\fear\Training_80296935.jpg,2
2693,train\happy\Training_78947417.jpg,3
5279,train\neutral\Training_97840129.jpg,4
2500,train\happy\Training_76376562.jpg,3
3119,train\happy\Training_85027104.jpg,3
1939,train\fear\Training_88085394.jpg,2
5215,train\neutral\Training_96667335.jpg,4
5254,train\neutral\Training_97392241.jpg,4
5737,train\sad\Training_79446524.jpg,5
6202,train\sad\Training_89300824.jpg,5
5533,train\sad\Training_75214583.jpg,5
6124,train\sad\Training_87663300.jpg,5
1182,train\disgust\Training_64139744.jpg,1
4915,train\neutral\Training_90754340.jpg,4
1144,train\disgust\Training_58801064.jpg,1
2123,train\fear\Training_92653969.jpg,2
4664,train\neutral\Training_85604546.jpg,4
7230,train\surprise\Training_78945062.jpg,6
780,train\angry\Training_99469320.jpg,0
5908,train\sad\Training_82957876.jpg,5
2887,train\happy\Training_81633065.jpg,3
2433,train\fear\Training_99764588.jpg,2
4344,train\neutral\Training_79105048.jpg,4
3130,train\happy\Training_85151630.jpg,3
3494,train\happy\Training_89854696.jpg,3
6243,train\sad\Training_90259213.jpg,5
2022,train\fear\Training_90148108.jpg,2
4754,train\neutral\Training_87309793.jpg,4
2758,train\happy\Training_79789724.jpg,3
4205,train\happy\Training_99911960.jpg,3
3558,train\happy\Training_90810939.jpg,3
2174,train\fear\Training_93653810.jpg,2
1762,train\fear\Training_83957096.jpg,2
2805,train\happy\Training_80288726.jpg,3
6579,train\sad\Training_97675373.jpg,5
1279,train\disgust\Training_84161715.jpg,1
689,train\angry\Training_97217688.jpg,0
5766,train\sad\Training_80130045.jpg,5
668,train\angry\Training_96675140.jpg,0
51,train\angry\Training_81541574.jpg,0
2196,train\fear\Training_94117631.jpg,2
3253,train\happy\Training_86659527.jpg,3
7686,train\surprise\Training_93744466.jpg,6
6470,train\sad\Training_95230085.jpg,5
4425,train\neutral\Training_81073888.jpg,4
1557,train\fear\Training_78753503.jpg,2
7715,train\surprise\Training_94885610.jpg,6
2044,train\fear\Training_90690028.jpg,2
518,train\angry\Training_93537228.jpg,0
5550,train\sad\Training_75571535.jpg,5
4808,train\neutral\Training_88447554.jpg,4
5843,train\sad\Training_81527327.jpg,5
7135,train\surprise\Training_76005545.jpg,6
1222,train\disgust\Training_74423618.jpg,1
3041,train\happy\Training_83846983.jpg,3
4296,train\neutral\Training_78295741.jpg,4
6527,train\sad\Training_96356119.jpg,5
2577,train\happy\Training_77345859.jpg,3
6763,train\surprise\Training_65572292.jpg,6
5564,train\sad\Training_75766217.jpg,5
188,train\angry\Training_85014145.jpg,0
1225,train\disgust\Training_7487631.jpg,1
6806,train\surprise\Training_66716597.jpg,6
1695,train\fear\Training_82254176.jpg,2
5047,train\neutral\Training_93295669.jpg,4
5856,train\sad\Training_81787007.jpg,5
6618,train\sad\Training_98361546.jpg,5
3256,train\happy\Training_86696141.jpg,3
787,train\angry\Training_99550374.jpg,0
7678,train\surprise\Training_93625752.jpg,6
7548,train\surprise\Training_89380464.jpg,6
4877,train\neutral\Training_89978512.jpg,4
5841,train\sad\Training_81511486.jpg,5
4676,train\neutral\Training_85804759.jpg,4
6017,train\sad\Training_85292865.jpg,5
1919,train\fear\Training_87723970.jpg,2
6560,train\sad\Training_97221623.jpg,5
784,train\angry\Training_99531165.jpg,0
1055,train\disgust\Training_39197750.jpg,1
6057,train\sad\Training_86123753.jpg,5
7641,train\surprise\Training_92196145.jpg,6
6228,train\sad\Training_89902282.jpg,5
1621,train\fear\Training_80408686.jpg,2
6924,train\surprise\Training_69707943.jpg,6
5114,train\neutral\Training_94390206.jpg,4
66,train\angry\Training_81825721.jpg,0
1424,train\fear\Training_75610188.jpg,2
6370,train\sad\Training_93190350.jpg,5
3852,train\happy\Training_94734407.jpg,3
7299,train\surprise\Training_80596096.jpg,6
1462,train\fear\Training_76651739.jpg,2
7255,train\surprise\Training_79394025.jpg,6
97,train\angry\Training_82625912.jpg,0
456,train\angry\Training_92065742.jpg,0
2506,train\happy\Training_76480812.jpg,3
842,train\disgust\PrivateTest_60490187.jpg,1
4356,train\neutral\Training_79375757.jpg,4
1547,train\fear\Training_78437996.jpg,2
7480,train\surprise\Training_87388211.jpg,6
320,train\angry\Training_88620554.jpg,0
698,train\angry\Training_97448968.jpg,0
6726,train\surprise\Training_64317006.jpg,6
3113,train\happy\Training_84837955.jpg,3
4468,train\neutral\Training_81810610.jpg,4
338,train\angry\Training_89091722.jpg,0
6923,train\surprise\Training_69694322.jpg,6
3165,train\happy\Training_85693224.jpg,3
1705,train\fear\Training_82467675.jpg,2
1286,train\disgust\Training_8514439.jpg,1
2233,train\fear\Training_94925883.jpg,2
2942,train\happy\Training_82401108.jpg,3
3163,train\happy\Training_85665695.jpg,3
6804,train\surprise\Training_66671860.jpg,6
1239,train\disgust\Training_76925085.jpg,1
3969,train\happy\Training_96393592.jpg,3
1998,train\fear\Training_89575609.jpg,2
181,train\angry\Training_84859165.jpg,0
4058,train\happy\Training_97667998.jpg,3
4043,train\happy\Training_97452121.jpg,3
6496,train\sad\Training_95819643.jpg,5
7687,train\surprise\Training_93747086.jpg,6
1106,train\disgust\Training_52049977.jpg,1
3407,train\happy\Training_88560473.jpg,3
1365,train\fear\Training_74264970.jpg,2
5308,train\neutral\Training_98483281.jpg,4
4757,train\neutral\Training_87472692.jpg,4
2731,train\happy\Training_79433277.jpg,3
1660,train\fear\Training_81325211.jpg,2
3870,train\happy\Training_95023380.jpg,3
6423,train\sad\Training_94362959.jpg,5
7818,train\surprise\Training_98241018.jpg,6
6941,train\surprise\Training_70194333.jpg,6
5724,train\sad\Training_79244828.jpg,5
7475,train\surprise\Training_87242843.jpg,6
3166,train\happy\Training_85695759.jpg,3
2800,train\happy\Training_80231605.jpg,3
6013,train\sad\Training_85239038.jpg,5
1641,train\fear\Training_80807753.jpg,2
6913,train\surprise\Training_69316941.jpg,6
1596,train\fear\Training_79761917.jpg,2
5089,train\neutral\Training_94071193.jpg,4
7442,train\surprise\Training_86136797.jpg,6
3302,train\happy\Training_87226265.jpg,3
4950,train\neutral\Training_91541310.jpg,4
5838,train\sad\Training_81465546.jpg,5
4186,train\happy\Training_99599521.jpg,3
2589,train\happy\Training_77447327.jpg,3
3291,train\happy\Training_87145214.jpg,3
6530,train\sad\Training_96430074.jpg,5
6112,train\sad\Training_87344127.jpg,5
2073,train\fear\Training_91457708.jpg,2
1243,train\disgust\Training_77723520.jpg,1
7130,train\surprise\Training_75884563.jpg,6
264,train\angry\Training_87212603.jpg,0
94,train\angry\Training_82588523.jpg,0
6824,train\surprise\Training_67300340.jpg,6
1961,train\fear\Training_88660457.jpg,2
4024,train\happy\Training_97150153.jpg,3
3708,train\happy\Training_92787379.jpg,3
7781,train\surprise\Training_97209154.jpg,6
3923,train\happy\Training_95795358.jpg,3
6738,train\surprise\Training_64672207.jpg,6
1505,train\fear\Training_77561158.jpg,2
3510,train\happy\Training_90148930.jpg,3
6217,train\sad\Training_89698099.jpg,5
5378,train\neutral\Training_99889904.jpg,4
5326,train\neutral\Training_98826048.jpg,4
1683,train\fear\Training_81934720.jpg,2
259,train\angry\Training_86963596.jpg,0
1020,train\disgust\Training_31585404.jpg,1
6789,train\surprise\Training_66206337.jpg,6
5707,train\sad\Training_78975310.jpg,5
1284,train\disgust\Training_84874359.jpg,1
3468,train\happy\Training_89402810.jpg,3
4502,train\neutral\Training_82534085.jpg,4
5068,train\neutral\Training_93701188.jpg,4
904,train\disgust\PublicTest_75786377.jpg,1
4872,train\neutral\Training_89881733.jpg,4
4481,train\neutral\Training_82087915.jpg,4
6392,train\sad\Training_93644996.jpg,5
2470,train\happy\Training_76042709.jpg,3
7438,train\surprise\Training_85955938.jpg,6
684,train\angry\Training_96928714.jpg,0
6845,train\surprise\Training_67855669.jpg,6
7784,train\surprise\Training_97313556.jpg,6
6134,train\sad\Training_87859907.jpg,5
7701,train\surprise\Training_94303347.jpg,6
272,train\angry\Training_87488099.jpg,0
2772,train\happy\Training_79954361.jpg,3
729,train\angry\Training_98160368.jpg,0
2847,train\happy\Training_80903578.jpg,3
5767,train\sad\Training_80184735.jpg,5
1703,train\fear\Training_82449945.jpg,2
4801,train\neutral\Training_88325088.jpg,4
180,train\angry\Training_84817418.jpg,0
6492,train\sad\Training_95739380.jpg,5
2213,train\fear\Training_94512632.jpg,2
2075,train\fear\Training_91504819.jpg,2
5438,train\sad\Training_73381526.jpg,5
7720,train\surprise\Training_95079686.jpg,6
3726,train\happy\Training_93002688.jpg,3
5436,train\sad\Training_73361195.jpg,5
5237,train\neutral\Training_97062053.jpg,4
4341,train\neutral\Training_79061149.jpg,4
351,train\angry\Training_89418657.jpg,0
126,train\angry\Training_83598293.jpg,0
5260,train\neutral\Training_97473898.jpg,4
3413,train\happy\Training_88641930.jpg,3
6014,train\sad\Training_85242954.jpg,5
5391,train\sad\Training_72569474.jpg,5
4393,train\neutral\Training_80248587.jpg,4
3026,train\happy\Training_83639564.jpg,3
4815,train\neutral\Training_88561679.jpg,4
4282,train\neutral\Training_78089468.jpg,4
359,train\angry\Training_89609771.jpg,0
6659,train\sad\Training_99129491.jpg,5
2345,train\fear\Training_97899542.jpg,2
162,train\angry\Training_84313589.jpg,0
5410,train\sad\Training_72896318.jpg,5
5437,train\sad\Training_73374075.jpg,5
6511,train\sad\Training_96073071.jpg,5
6709,train\surprise\Training_63809469.jpg,6
7336,train\surprise\Training_82124714.jpg,6
4291,train\neutral\Training_78224397.jpg,4
6140,train\sad\Training_87912312.jpg,5
6500,train\sad\Training_95884061.jpg,5
2445,train\fear\Training_99979234.jpg,2
355,train\angry\Training_89462736.jpg,0
3508,train\happy\Training_90104900.jpg,3
6712,train\surprise\Training_63916241.jpg,6
252,train\angry\Training_86750647.jpg,0
299,train\angry\Training_88076124.jpg,0
3663,train\happy\Training_92164213.jpg,3
1277,train\disgust\Training_82817431.jpg,1
3354,train\happy\Training_88000173.jpg,3
7253,train\surprise\Training_79288953.jpg,6
5413,train\sad\Training_73009287.jpg,5
6503,train\sad\Training_95920433.jpg,5
3213,train\happy\Training_86213665.jpg,3
7334,train\surprise\Training_82040443.jpg,6
1917,train\fear\Training_87647952.jpg,2
3349,train\happy\Training_87926036.jpg,3
2816,train\happy\Training_80417792.jpg,3
5441,train\sad\Training_73440556.jpg,5
894,train\disgust\PublicTest_57331986.jpg,1
442,train\angry\Training_91595140.jpg,0
7185,train\surprise\Training_77297442.jpg,6
4576,train\neutral\Training_84075511.jpg,4
1188,train\disgust\Training_659019.jpg,1
4629,train\neutral\Training_84971145.jpg,4
7513,train\surprise\Training_88282683.jpg,6
5249,train\neutral\Training_97270054.jpg,4
3974,train\happy\Training_96435627.jpg,3
389,train\angry\Training_90237222.jpg,0
3551,train\happy\Training_90628919.jpg,3
5529,train\sad\Training_75159666.jpg,5
2974,train\happy\Training_82920563.jpg,3
4655,train\neutral\Training_85511311.jpg,4
166,train\angry\Training_84380770.jpg,0
4633,train\neutral\Training_85109100.jpg,4
1063,train\disgust\Training_41001987.jpg,1
3078,train\happy\Training_84407301.jpg,3
3507,train\happy\Training_90084698.jpg,3
4822,train\neutral\Training_88626168.jpg,4
3233,train\happy\Training_86434222.jpg,3
7354,train\surprise\Training_82789563.jpg,6
5464,train\sad\Training_73882625.jpg,5
1737,train\fear\Training_83375267.jpg,2
3318,train\happy\Training_87569218.jpg,3
1838,train\fear\Training_85515465.jpg,2
197,train\angry\Training_85185196.jpg,0
1893,train\fear\Training_86930489.jpg,2
3962,train\happy\Training_96330171.jpg,3
6377,train\sad\Training_93330552.jpg,5
3528,train\happy\Training_90346681.jpg,3
3576,train\happy\Training_90968413.jpg,3
1751,train\fear\Training_83734202.jpg,2
46,train\angry\Training_81484480.jpg,0
3229,train\happy\Training_86352242.jpg,3
3335,train\happy\Training_87774861.jpg,3
6150,train\sad\Training_88130732.jpg,5
7163,train\surprise\Training_76711640.jpg,6
2245,train\fear\Training_95182108.jpg,2
5502,train\sad\Training_74660658.jpg,5
4616,train\neutral\Training_84816988.jpg,4
7772,train\surprise\Training_96800478.jpg,6
5554,train\sad\Training_75621135.jpg,5
1553,train\fear\Training_78615781.jpg,2
2673,train\happy\Training_78618955.jpg,3
6569,train\sad\Training_97360221.jpg,5
2096,train\fear\Training_92076632.jpg,2
4745,train\neutral\Training_87103651.jpg,4
1911,train\fear\Training_87394233.jpg,2
676,train\angry\Training_96792750.jpg,0
4145,train\happy\Training_98998301.jpg,3
1530,train\fear\Training_78019469.jpg,2
4553,train\neutral\Training_83615612.jpg,4
5769,train\sad\Training_80204177.jpg,5
7369,train\surprise\Training_83517089.jpg,6
5951,train\sad\Training_84082056.jpg,5
607,train\angry\Training_95508388.jpg,0
434,train\angry\Training_91447822.jpg,0
5471,train\sad\Training_73972027.jpg,5
3355,train\happy\Training_88006196.jpg,3
5187,train\neutral\Training_95952911.jpg,4
42,train\angry\Training_81428949.jpg,0
4816,train\neutral\Training_88570659.jpg,4
5680,train\sad\Training_78338992.jpg,5
4914,train\neutral\Training_90752469.jpg,4
1808,train\fear\Training_84833405.jpg,2
1550,train\fear\Training_78499310.jpg,2
1400,train\fear\Training_75095511.jpg,2
137,train\angry\Training_83776503.jpg,0
7160,train\surprise\Training_76618986.jpg,6
2153,train\fear\Training_93165563.jpg,2
6313,train\sad\Training_91805461.jpg,5
2949,train\happy\Training_82526594.jpg,3
7350,train\surprise\Training_82657965.jpg,6
6306,train\sad\Training_91662599.jpg,5
2639,train\happy\Training_78114532.jpg,3
1730,train\fear\Training_83268859.jpg,2
4779,train\neutral\Training_87915572.jpg,4
3975,train\happy\Training_96441883.jpg,3
4409,train\neutral\Training_80611909.jpg,4
7602,train\surprise\Training_91045206.jpg,6
1265,train\disgust\Training_81583057.jpg,1
1753,train\fear\Training_83860097.jpg,2
7723,train\surprise\Training_95187678.jpg,6
7049,train\surprise\Training_73346144.jpg,6
1078,train\disgust\Training_44375986.jpg,1
4096,train\happy\Training_98241789.jpg,3
1438,train\fear\Training_76134895.jpg,2
2290,train\fear\Training_96283554.jpg,2
6042,train\sad\Training_85817568.jpg,5
4346,train\neutral\Training_79179140.jpg,4
7111,train\surprise\Training_75426295.jpg,6
6473,train\sad\Training_95275004.jpg,5
1531,train\fear\Training_78033177.jpg,2
880,train\disgust\PublicTest_31237465.jpg,1
2654,train\happy\Training_78297193.jpg,3
7825,train\surprise\Training_98397319.jpg,6
7814,train\surprise\Training_98223737.jpg,6
3088,train\happy\Training_84525907.jpg,3
1503,train\fear\Training_77534578.jpg,2
4287,train\neutral\Training_78182605.jpg,4
2583,train\happy\Training_77377346.jpg,3
1731,train\fear\Training_83286702.jpg,2
6887,train\surprise\Training_68632316.jpg,6
5669,train\sad\Training_78244666.jpg,5
44,train\angry\Training_81458288.jpg,0
1993,train\fear\Training_89386308.jpg,2
3472,train\happy\Training_89447424.jpg,3
5359,train\neutral\Training_99379678.jpg,4
7055,train\surprise\Training_73639848.jpg,6
5102,train\neutral\Training_94271931.jpg,4
5419,train\sad\Training_73058352.jpg,5
579,train\angry\Training_94904202.jpg,0
457,train\angry\Training_92073239.jpg,0
5000,train\neutral\Training_92325282.jpg,4
671,train\angry\Training_96732479.jpg,0
3300,train\happy\Training_87209094.jpg,3
5396,train\sad\Training_72611844.jpg,5
4693,train\neutral\Training_86207430.jpg,4
5340,train\neutral\Training_99010157.jpg,4
696,train\angry\Training_97328753.jpg,0
6211,train\sad\Training_89578524.jpg,5
1559,train\fear\Training_78770702.jpg,2
7231,train\surprise\Training_78956765.jpg,6
6986,train\surprise\Training_71221415.jpg,6
4103,train\happy\Training_98328383.jpg,3
2358,train\fear\Training_98112532.jpg,2
3382,train\happy\Training_88289141.jpg,3
1741,train\fear\Training_83495321.jpg,2
1024,train\disgust\Training_33035381.jpg,1
1569,train\fear\Training_78992197.jpg,2
300,train\angry\Training_88091138.jpg,0
4403,train\neutral\Training_80456574.jpg,4
4373,train\neutral\Training_79733248.jpg,4
6380,train\sad\Training_93359633.jpg,5
7566,train\surprise\Training_89923105.jpg,6
1825,train\fear\Training_85205969.jpg,2
3068,train\happy\Training_84202781.jpg,3
3098,train\happy\Training_84630357.jpg,3
3611,train\happy\Training_91434687.jpg,3
4810,train\neutral\Training_88467974.jpg,4
6434,train\sad\Training_94556972.jpg,5
454,train\angry\Training_91970839.jpg,0
1323,train\disgust\Training_93510905.jpg,1
1105,train\disgust\Training_52027906.jpg,1
4284,train\neutral\Training_78109606.jpg,4
63,train\angry\Training_81784072.jpg,0
4852,train\neutral\Training_89403734.jpg,4
3892,train\happy\Training_95398225.jpg,3
3605,train\happy\Training_91391247.jpg,3
3174,train\happy\Training_85819419.jpg,3
3393,train\happy\Training_88426239.jpg,3
6933,train\surprise\Training_69954084.jpg,6
109,train\angry\Training_83089343.jpg,0
2000,train\fear\Training_89588176.jpg,2
4516,train\neutral\Training_82952803.jpg,4
3296,train\happy\Training_87176887.jpg,3
1211,train\disgust\Training_71591976.jpg,1
638,train\angry\Training_96072860.jpg,0
5064,train\neutral\Training_93658164.jpg,4
674,train\angry\Training_96761334.jpg,0
936,train\disgust\Training_12096769.jpg,1
4060,train\happy\Training_97686146.jpg,3
6552,train\sad\Training_97048698.jpg,5
6749,train\surprise\Training_65092719.jpg,6
6390,train\sad\Training_93609509.jpg,5
1004,train\disgust\Training_27772190.jpg,1
3649,train\happy\Training_91964452.jpg,3
1245,train\disgust\Training_78245126.jpg,1
3123,train\happy\Training_85046902.jpg,3
2717,train\happy\Training_79234386.jpg,3
7746,train\surprise\Training_95988339.jpg,6
4497,train\neutral\Training_82359544.jpg,4
2459,train\happy\Training_75818211.jpg,3
7479,train\surprise\Training_87376920.jpg,6
6973,train\surprise\Training_70917507.jpg,6
1560,train\fear\Training_78779278.jpg,2
3770,train\happy\Training_93577390.jpg,3
6905,train\surprise\Training_69186969.jpg,6
381,train\angry\Training_90091185.jpg,0
3636,train\happy\Training_91720745.jpg,3
3925,train\happy\Training_95801811.jpg,3
6216,train\sad\Training_89696641.jpg,5
7063,train\surprise\Training_73869708.jpg,6
1948,train\fear\Training_88299723.jpg,2
5134,train\neutral\Training_94777525.jpg,4
5057,train\neutral\Training_93514240.jpg,4
4437,train\neutral\Training_81308211.jpg,4
2481,train\happy\Training_76177335.jpg,3
7308,train\surprise\Training_80880669.jpg,6
6033,train\sad\Training_85665718.jpg,5
2553,train\happy\Training_77073768.jpg,3
1453,train\fear\Training_76434625.jpg,2
1719,train\fear\Training_82966035.jpg,2
5137,train\neutral\Training_94835141.jpg,4
3036,train\happy\Training_83786027.jpg,3
5563,train\sad\Training_75727403.jpg,5
4415,train\neutral\Training_80754241.jpg,4
558,train\angry\Training_94450199.jpg,0
636,train\angry\Training_96029674.jpg,0
5143,train\neutral\Training_94906511.jpg,4
